IP,Time,URL,Staus
10.120.2.1,[30/Nov/2017:15:06:56],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.124.0.1,[19/Dec/2017:16:56:11],GET / HTTP/1.1,302
10.128.0.1,[29/Jan/2018:20:39:56],GET /home.php HTTP/1.1,302
10.131.2.1,[03/Dec/2017:14:42:40],GET /submit.php?id=55 HTTP/1.1,200
10.120.0.1,[14/Dec/2017:01:58:19],GET /js/vendor/moment.min.js HTTP/1.1,200
10.120.2.1,[30/Nov/2017:15:45:47],GET /details.php?name=Factorial%20Factorization&cod=16 HTTP/1.1,200
10.129.2.1,[13/Dec/2017:02:46:39],GET / HTTP/1.1,302
10.129.2.1,[09/Nov/2017:10:27:48],GET / HTTP/1.1,302
10.130.2.1,[29/Jan/2018:20:48:31],GET /login.php HTTP/1.1,200
10.129.2.1,[30/Nov/2017:13:03:26],POST /action.php HTTP/1.1,302
10.131.2.1,[29/Jan/2018:20:54:37],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,[29/Jan/2018:20:54:28],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.124.2.1,[17/Nov/2017:05:53:36],GET /css/main.css HTTP/1.1,200
10.124.0.1,[02/Mar/2018:06:34:10],POST /process.php HTTP/1.1,302
10.121.0.1,[22/Feb/2018:16:04:30],GET /js/vendor/moment.min.js HTTP/1.1,200
10.127.0.1,[29/Jan/2018:20:18:06],GET /home.php HTTP/1.1,302
10.126.0.1,[18/Dec/2017:19:06:43],GET /login.php HTTP/1.1,200
10.128.2.1,[29/Jan/2018:20:44:52],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.0.1,[13/Nov/2017:10:22:53],GET / HTTP/1.1,302
10.131.0.1,[08/Nov/2017:07:32:26],GET /login.php HTTP/1.1,200
10.128.0.1,[11/Nov/2017:19:14:20],GET /login.php HTTP/1.1,200
10.128.2.1,[14/Dec/2017:20:05:47],GET /img/ruet.png HTTP/1.1,200
10.130.2.1,[30/Nov/2017:12:14:08],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.129.2.1,[30/Nov/2017:15:33:07],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.127.0.1,[01/Dec/2017:04:10:00],GET /css/bootstrap.min.css HTTP/1.1,200
10.121.2.1,[30/Nov/2017:13:01:59],GET /contest.php HTTP/1.1,200
10.129.2.1,[13/Dec/2017:14:20:18],GET /login.php HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:29:42],GET /login.php HTTP/1.1,200
10.127.2.1,[01/Dec/2017:17:02:35],GET / HTTP/1.1,302
10.130.2.1,[30/Nov/2017:14:06:15],POST /process.php HTTP/1.1,302
10.111.0.1,[12/Nov/2017:12:39:10],GET /archive.php HTTP/1.1,200
10.121.2.1,[02/Dec/2017:18:35:45],GET / HTTP/1.1,200
10.123.2.1,[23/Dec/2017:08:16:05],GET /home.php HTTP/1.1,200
10.111.0.1,[18/Dec/2017:14:02:32],GET /login.php HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:46:10],GET /login.php HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:22:25],GET /home.php HTTP/1.1,302
10.124.2.1,[29/Jan/2018:20:17:53],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.127.2.1,[30/Nov/2017:19:21:36],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.127.0.1,[09/Nov/2017:20:13:04],GET /login.php HTTP/1.1,200
10.129.2.1,[30/Nov/2017:15:30:18],GET /js/chart.min.js HTTP/1.1,200
10.126.2.1,[30/Nov/2017:15:56:15],GET /css/font-awesome.min.css HTTP/1.1,304
10.125.0.1,[29/Jan/2018:20:44:36],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.111.2.1,[29/Jan/2018:20:38:56],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,[30/Nov/2017:12:25:34],GET /compiler.php HTTP/1.1,200
10.130.2.1,[29/Jan/2018:20:27:24],GET /login.php HTTP/1.1,200
10.123.0.1,[29/Jan/2018:20:49:35],GET /home.php HTTP/1.1,302
10.125.2.1,[30/Nov/2017:16:24:08],GET /details.php?id=45 HTTP/1.1,200
10.128.0.1,[19/Nov/2017:20:59:51],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.2.1,[20/Feb/2018:11:04:58],GET /css/style.css HTTP/1.1,200
10.120.2.1,[18/Dec/2017:08:51:44],GET /contest.php HTTP/1.1,200
10.125.2.1,[01/Dec/2017:14:58:30],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.124.2.1,[29/Jan/2018:20:38:37],GET /home.php HTTP/1.1,302
10.127.0.1,[01/Dec/2017:10:30:44],GET /login.php HTTP/1.1,200
10.127.0.1,[29/Jan/2018:20:35:54],GET /home.php HTTP/1.1,302
10.126.2.1,[30/Nov/2017:19:29:27],GET /css/normalize.css HTTP/1.1,200
10.128.2.1,[30/Nov/2017:14:06:17],GET /js/vendor/moment.min.js HTTP/1.1,200
10.125.2.1,[29/Jan/2018:20:41:34],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.123.2.1,[20/Nov/2017:07:54:36],GET /login.php HTTP/1.1,200
10.120.0.1,[29/Jan/2018:20:55:57],GET /home.php HTTP/1.1,302
10.127.0.1,[29/Jan/2018:20:26:36],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:38:40],GET /home.php HTTP/1.1,302
10.121.0.1,[25/Nov/2017:18:14:52],POST /process.php HTTP/1.1,302
10.121.0.1,[12/Nov/2017:12:38:45],GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,304
10.126.0.1,[30/Nov/2017:15:41:26],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.126.2.1,[21/Feb/2018:05:05:39],GET /fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1,200
10.124.0.1,[15/Dec/2017:17:06:49],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304
10.131.2.1,[26/Nov/2017:21:24:59],GET /login.php HTTP/1.1,200
10.131.2.1,[11/Nov/2017:19:38:01],POST /pcompile.php HTTP/1.1,200
10.130.2.1,[30/Nov/2017:13:12:08],GET /css/style.css HTTP/1.1,200
10.121.2.1,[01/Dec/2017:10:27:54],GET / HTTP/1.1,302
10.123.2.1,[30/Nov/2017:18:09:08],GET /js/chart.min.js HTTP/1.1,206
10.125.0.1,[01/Dec/2017:07:04:09],GET /css/bootstrap.min.css HTTP/1.1,304
10.124.2.1,[16/Feb/2018:11:40:27],GET /css/bootstrap.min.css HTTP/1.1,200
10.123.2.1,[12/Dec/2017:09:23:26],GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.120.0.1,[29/Jan/2018:20:56:46],GET /home.php HTTP/1.1,302
10.123.0.1,[29/Jan/2018:20:23:31],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.0.1,[29/Jan/2018:20:47:25],GET /login.php HTTP/1.1,200
10.120.2.1,[29/Jan/2018:20:44:34],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,[17/Nov/2017:19:42:21],GET /login.php HTTP/1.1,200
10.126.0.1,[30/Nov/2017:17:03:09],GET /css/font-awesome.min.css HTTP/1.1,304
10.123.2.1,[29/Jan/2018:20:53:14],GET /home.php HTTP/1.1,302
10.120.2.1,[30/Nov/2017:12:17:19],GET /css/font-awesome.min.css HTTP/1.1,200
10.128.0.1,[29/Jan/2018:20:36:40],GET /login.php HTTP/1.1,200
10.111.2.1,[21/Dec/2017:15:44:41],GET /archive.php HTTP/1.1,200
10.131.2.1,[29/Jan/2018:20:32:44],GET /login.php HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:51:00],GET /home.php HTTP/1.1,302
10.123.2.1,[11/Nov/2017:19:47:07],GET /archive.php HTTP/1.1,200
10.121.0.1,[16/Jan/2018:07:21:39],GET /css/font-awesome.min.css HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:53:47],GET /login.php HTTP/1.1,200
10.129.2.1,[18/Nov/2017:07:36:49],GET / HTTP/1.1,200
10.130.2.1,[23/Nov/2017:07:15:51],POST /process.php HTTP/1.1,302
10.125.2.1,[08/Nov/2017:03:12:46],GET / HTTP/1.1,302
10.126.0.1,[16/Dec/2017:16:21:11],GET /sign.php HTTP/1.1,200
10.124.2.1,[29/Jan/2018:20:26:24],GET /login.php HTTP/1.1,200
10.121.2.1,[24/Nov/2017:06:08:10],POST /compile.php HTTP/1.1,200
10.125.2.1,[01/Dec/2017:18:13:01],GET /login.php?value=fail HTTP/1.1,200
10.131.2.1,[25/Nov/2017:15:28:20],GET /css/main.css HTTP/1.1,304
10.120.2.1,[30/Nov/2017:16:34:05],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.120.2.1,[29/Jan/2018:20:49:33],GET /home.php HTTP/1.1,302
10.111.2.1,[29/Jan/2018:20:48:20],GET /home.php HTTP/1.1,302
10.124.2.1,[30/Nov/2017:17:15:39],GET /profile.php?user=m.r.saurov HTTP/1.1,200
10.121.0.1,[30/Nov/2017:15:47:25],GET /img/ruet.png HTTP/1.1,200
10.111.2.1,[30/Nov/2017:18:49:12],GET /allsubmission.php HTTP/1.1,200
10.131.2.1,[30/Nov/2017:16:24:31],GET /css/normalize.css HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:21:34],GET /home.php HTTP/1.1,302
10.124.0.1,[29/Jan/2018:20:18:47],GET /login.php HTTP/1.1,200
10.125.2.1,[29/Jan/2018:20:47:40],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.129.2.1,[02/Dec/2017:13:26:25],GET /css/bootstrap.min.css HTTP/1.1,200
10.126.0.1,[02/Mar/2018:04:30:54],GET /login.php HTTP/1.1,200
10.127.2.1,[23/Nov/2017:07:22:05],GET /allsubmission.php HTTP/1.1,200
10.121.0.1,[22/Feb/2018:06:45:08],GET /archive.php HTTP/1.1,200
10.128.0.1,[30/Nov/2017:12:22:57],POST /action.php HTTP/1.1,302
10.120.2.1,[29/Jan/2018:20:54:59],GET /home.php HTTP/1.1,302
10.130.0.1,[15/Nov/2017:21:16:56],GET / HTTP/1.1,302
10.121.2.1,[01/Dec/2017:19:03:04],GET /login.php HTTP/1.1,200
10.120.2.1,[30/Nov/2017:12:34:36],GET /js/chart.min.js HTTP/1.1,200
10.121.2.1,[11/Nov/2017:19:38:19],GET /showcode.php?id=283&nm=ashadullah HTTP/1.1,200
10.129.2.1,[29/Jan/2018:20:23:54],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.124.2.1,[30/Nov/2017:12:26:26],GET /description.php?id=64 HTTP/1.1,200
10.128.2.1,[30/Nov/2017:18:06:25],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.124.2.1,[30/Nov/2017:12:43:00],GET / HTTP/1.1,302
10.120.0.1,[10/Nov/2017:04:14:01],GET / HTTP/1.1,302
10.123.2.1,[30/Nov/2017:15:41:25],GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:17:53],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.0.1,[30/Nov/2017:15:29:31],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.124.2.1,[30/Nov/2017:15:39:39],POST /pcompile.php HTTP/1.1,200
10.130.2.1,[01/Dec/2017:13:18:43],GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.111.0.1,[29/Jan/2018:20:32:39],GET /login.php HTTP/1.1,200
10.128.0.1,[23/Feb/2018:23:42:31],GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.120.2.1,[29/Jan/2018:20:51:21],GET /home.php HTTP/1.1,302
10.123.2.1,[30/Nov/2017:07:24:34],GET / HTTP/1.1,302
10.127.2.1,[12/Dec/2017:09:24:24],GET /standings.php?id=16 HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:26:35],GET /login.php HTTP/1.1,200
10.128.2.1,[29/Jan/2018:20:30:24],GET /login.php HTTP/1.1,200
10.129.2.1,[23/Nov/2017:14:22:56],GET /home.php HTTP/1.1,200
10.123.2.1,[29/Nov/2017:16:21:57],GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.111.2.1,[29/Nov/2017:13:38:03],POST /process.php HTTP/1.1,302
10.120.2.1,[29/Jan/2018:20:32:29],GET /home.php HTTP/1.1,302
10.128.2.1,[30/Nov/2017:14:58:46],GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,[15/Dec/2017:13:35:43],POST /process.php HTTP/1.1,302
10.124.0.1,[29/Jan/2018:20:54:46],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.120.0.1,[18/Nov/2017:07:07:51],GET /login.php HTTP/1.1,200
10.123.2.1,[08/Nov/2017:01:36:22],GET / HTTP/1.1,302
10.130.0.1,[29/Jan/2018:20:32:28],GET /login.php HTTP/1.1,200
10.127.0.1,[30/Nov/2017:14:56:51],GET /home.php HTTP/1.1,200
10.121.2.1,[30/Nov/2017:07:52:38],GET /css/style.css HTTP/1.1,200
10.120.2.1,[12/Dec/2017:17:47:59],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.123.0.1,[25/Feb/2018:06:20:10],GET /archive.php HTTP/1.1,200
10.111.2.1,[30/Nov/2017:13:07:34],GET /description.php?id=63 HTTP/1.1,200
10.127.2.1,[16/Dec/2017:18:03:45],GET /css/bootstrap.min.css HTTP/1.1,200
10.127.2.1,[13/Nov/2017:16:17:16],GET / HTTP/1.1,302
10.124.2.1,[12/Dec/2017:07:51:43],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.125.2.1,[29/Jan/2018:20:51:12],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.2.1,[17/Nov/2017:13:27:58],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.125.2.1,[29/Jan/2018:20:24:55],GET /home.php HTTP/1.1,302
10.124.2.1,[02/Mar/2018:04:47:48],GET /css/font-awesome.min.css HTTP/1.1,200
10.121.2.1,[29/Jan/2018:20:26:26],GET /login.php HTTP/1.1,200
10.120.2.1,[02/Dec/2017:04:59:19],GET / HTTP/1.1,302
10.129.0.1,[17/Nov/2017:18:08:31],GET /home.php HTTP/1.1,302
10.121.2.1,[29/Jan/2018:20:26:47],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.0.1,[29/Jan/2018:20:38:57],GET /home.php HTTP/1.1,302
10.123.2.1,[29/Jan/2018:20:54:49],GET /home.php HTTP/1.1,302
10.125.2.1,[29/Jan/2018:20:26:41],GET /home.php HTTP/1.1,302
10.126.2.1,[15/Dec/2017:09:19:44],GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.111.2.1,[01/Dec/2017:19:01:43],GET /js/vendor/moment.min.js HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:36:58],GET /login.php HTTP/1.1,200
10.130.2.1,[29/Jan/2018:20:18:33],GET /home.php HTTP/1.1,302
10.127.2.1,[02/Mar/2018:06:34:16],GET /css/style.css HTTP/1.1,200
10.127.2.1,[09/Nov/2017:19:53:42],GET /login.php HTTP/1.1,200
10.125.0.1,[30/Nov/2017:15:51:03],GET /css/bootstrap.min.css HTTP/1.1,200
10.111.2.1,[29/Jan/2018:20:51:14],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.126.2.1,[29/Jan/2018:20:27:37],GET /home.php HTTP/1.1,302
10.121.0.1,[29/Jan/2018:20:44:48],GET /home.php HTTP/1.1,302
10.131.2.1,[30/Nov/2017:15:04:38],GET /contestsubmission.php?id=16&show=bruce HTTP/1.1,200
10.125.0.1,[29/Jan/2018:20:38:46],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.127.2.1,[23/Nov/2017:07:16:25],GET /css/font-awesome.min.css HTTP/1.1,200
10.123.2.1,[28/Feb/2018:12:59:56],GET /archive.php HTTP/1.1,200
10.127.2.1,[22/Nov/2017:10:03:50],GET /favicon.ico HTTP/1.1,404
10.127.2.1,[29/Jan/2018:20:21:47],GET /home.php HTTP/1.1,302
10.127.2.1,[25/Nov/2017:17:58:29],GET /css/normalize.css HTTP/1.1,200
10.125.0.1,[29/Jan/2018:20:44:36],GET /home.php HTTP/1.1,302
10.127.2.1,[30/Nov/2017:17:15:46],GET /edit.php?name=m.r.saurov HTTP/1.1,200
10.128.2.1,[15/Nov/2017:07:21:21],GET /login.php HTTP/1.1,200
10.123.2.1,[23/Nov/2017:20:31:32],POST /compile.php HTTP/1.1,200
10.121.2.1,[29/Jan/2018:20:38:43],GET /home.php HTTP/1.1,302
10.130.2.1,[14/Nov/2017:22:27:44],GET /login.php HTTP/1.1,200
10.120.2.1,[18/Nov/2017:07:07:52],GET /css/normalize.css HTTP/1.1,200
10.126.2.1,[29/Jan/2018:20:41:39],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,[30/Nov/2017:14:59:04],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.120.0.1,[14/Nov/2017:03:47:42],GET / HTTP/1.1,302
10.128.0.1,[24/Nov/2017:02:36:14],GET / HTTP/1.1,302
10.125.2.1,[26/Feb/2018:03:55:18],GET /login.php HTTP/1.1,200
10.129.2.1,[17/Dec/2017:16:38:36],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.2.1,[30/Nov/2017:20:43:11],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.124.2.1,[26/Nov/2017:20:00:24],GET /contest.php HTTP/1.1,200
10.124.2.1,[26/Feb/2018:06:46:47],GET /css/normalize.css HTTP/1.1,200
10.127.2.1,[08/Nov/2017:00:39:07],GET /login.php HTTP/1.1,200
10.111.2.1,[29/Jan/2018:20:24:30],GET /login.php HTTP/1.1,200
10.130.2.1,[29/Jan/2018:20:20:34],GET /home.php HTTP/1.1,302
10.121.2.1,[08/Nov/2017:18:44:45],GET /img/ruet.png HTTP/1.1,200
10.121.2.1,[22/Feb/2018:07:11:44],GET /login.php HTTP/1.1,200
10.123.2.1,[29/Jan/2018:20:53:50],GET /home.php HTTP/1.1,302
10.128.2.1,[09/Nov/2017:14:37:33],POST /action.php HTTP/1.1,302
10.127.0.1,[29/Jan/2018:20:23:32],GET /home.php HTTP/1.1,302
10.111.2.1,[11/Nov/2017:19:46:55],GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304
10.126.2.1,[29/Jan/2018:20:38:25],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.121.2.1,[30/Nov/2017:14:58:54],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.125.2.1,[01/Dec/2017:07:03:37],GET /css/style.css HTTP/1.1,304
